assess_gp,rank,desc
clupeiformes,Actinopterygii,bony fishes
cone_snails,Mollusca,cone snails
lobsters,Arthropoda,lobsters
mammals,Mammalia,mammals
mangrove_plants,Plantae,mangrove plants
wrasses_and_parrotfishes,Actinopterygii,bony fishes
pufferfishes,Actinopterygii,bony fishes
blennies,Actinopterygii,bony fishes
seabreams_porgies_picarels,Actinopterygii,bony fishes
tunas_and_billfishes,Actinopterygii,bony fishes
groupers,Actinopterygii,bony fishes
butterfly_fishes,Actinopterygii,bony fishes
angelfishes,Actinopterygii,bony fishes
hagfishes,Myxini,hagfishes
surgeonfishes,Actinopterygii,bony fishes
tarpons_and_ladyfishes,Actinopterygii,bony fishes
reef_building_corals,Cnidaria,reef-building corals
seasnakes,Reptilia,marine reptiles
sea_turtles,Reptilia,marine reptiles
crocodiles_and_alligators,Reptilia,marine reptiles
seagrasses,Plantae,seagrasses
sharks_and_rays,Chondrichthyes,sharks and rays
syngnathiformes,Actinopterygii,bony fishes
birds,Aves,sea birds
